,Sport,predicted_item_1,acc1,predicted_item_2,acc2,predicted_item_3,acc3,predicted_item_4,acc4,img
0,archery,bow,0.99987376,pole,2.222555e-05,horizontal_bar,1.1587498e-05,canoe,7.3325914e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/016.jpg
1,archery,bow,0.993036,chime,0.0008206121,flute,0.0007918407,unicycle,0.00064356613,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/002.jpg
2,archery,microphone,0.45662984,stage,0.1538567,drum,0.09320913,parallel_bars,0.054302957,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/003.jpg
3,archery,bow,0.45547515,swing,0.38781145,stage,0.031245008,pole,0.02850621,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/017.jpg
4,archery,bow,0.99512404,gong,0.0006591745,pole,0.0005421792,swing,0.00044191894,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/029.jpg
5,archery,bow,0.9999963,rifle,1.0819778e-06,assault_rifle,5.779051e-07,revolver,3.3052726e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/001.jpg
6,archery,bow,0.9998975,pole,3.198111e-05,reel,1.6192467e-05,mountain_bike,1.195326e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/015.jpg
7,archery,bow,0.77716523,swing,0.06122948,barbell,0.04883656,horizontal_bar,0.020505084,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/014.jpg
8,archery,hook,0.2348894,bow,0.17861742,reel,0.06317382,worm_fence,0.02427997,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/028.jpg
9,archery,swing,0.98404443,bow,0.006801763,tripod,0.0019528773,mountain_bike,0.0014140815,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/004.jpg
10,archery,bow,0.9998568,ski,0.00011395985,pole,1.3312416e-05,reel,6.9109897e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/010.jpg
11,archery,bow,0.34312692,unicycle,0.281589,soccer_ball,0.07616855,reel,0.050354034,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/038.jpg
12,archery,bow,0.9987907,revolver,0.0007701398,assault_rifle,0.00020830425,rifle,0.00013407781,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/039.jpg
13,archery,bow,0.9983633,punching_bag,0.0005546862,balance_beam,0.00018562764,harmonica,0.00010062127,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/011.jpg
14,archery,bow,0.9950099,barbell,0.0018790954,tricycle,0.0013311141,horizontal_bar,0.0005521107,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/005.jpg
15,archery,bow,0.9999945,swing,1.4201688e-06,reel,1.3109475e-06,tennis_ball,3.0837515e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/013.jpg
16,archery,bow,0.9982381,sarong,0.00051199767,swing,0.00038281814,microphone,0.000120528246,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/007.jpg
17,archery,bow,0.99736756,barbell,0.0006652748,cornet,0.00039957487,dumbbell,0.00020724689,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/006.jpg
18,archery,bow,0.99970776,swing,0.0001837848,ski,3.0174439e-05,reel,1.0165539e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/012.jpg
19,archery,bow,0.9999995,reel,1.779163e-07,gar,5.3740443e-08,scabbard,4.0489354e-08,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/129.jpg
20,archery,bow,0.9996797,shield,9.4751435e-05,swing,3.5266916e-05,maypole,3.463199e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/101.jpg
21,archery,bow,0.81944233,swing,0.09133684,chain_mail,0.011837581,vestment,0.009448793,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/115.jpg
22,archery,bow,0.5756027,swing,0.0555926,gazelle,0.035214588,bee_eater,0.030586665,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/049.jpg
23,archery,bow,1.0,television,5.2852505e-09,gong,3.680906e-09,bearskin,3.3637222e-09,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/075.jpg
24,archery,bow,0.42232114,violin,0.1392269,basketball,0.10691748,barbell,0.07535782,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/061.jpg
25,archery,swing,0.6203756,bow,0.2596871,crane,0.01687538,pirate,0.014795966,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/060.jpg
26,archery,bow,0.99997747,rifle,1.6744976e-05,assault_rifle,2.5737652e-06,lumbermill,3.5755468e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/074.jpg
27,archery,bow,0.9999504,pole,2.4637584e-05,walking_stick,4.7840267e-06,spiny_lobster,2.911444e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/048.jpg
28,archery,bow,0.9545504,cliff,0.0057401326,gar,0.0044458546,ski,0.0031139068,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/114.jpg
29,archery,bow,0.2619368,mountain_bike,0.116490655,sarong,0.11504076,soccer_ball,0.06083935,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/100.jpg
30,archery,swing,0.44108915,sarong,0.17114134,cliff,0.1231747,chain,0.050180513,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/128.jpg
31,archery,bow,0.87652856,racket,0.06480876,lab_coat,0.011629194,oboe,0.010244295,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/116.jpg
