,Sport,predicted_item_1,acc1,predicted_item_2,acc2,img
0,air hockey,pool_table,0.999962,toyshop,6.8992563e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/016.jpg
1,air hockey,pool_table,0.92733616,butcher_shop,0.018374585,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/002.jpg
2,air hockey,paddlewheel,0.49156582,fountain,0.23131649,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/003.jpg
3,air hockey,snorkel,0.49702534,parallel_bars,0.12988143,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/017.jpg
4,air hockey,pool_table,0.2767553,ping-pong_ball,0.14847206,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/029.jpg
5,air hockey,ping-pong_ball,0.61829585,cash_machine,0.085806064,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/001.jpg
6,air hockey,television,0.4356795,barbell,0.10593496,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/015.jpg
7,air hockey,mobile_home,0.15020339,crane,0.13027538,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/014.jpg
8,air hockey,ping-pong_ball,0.5585097,pool_table,0.16989537,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/028.jpg
9,air hockey,pool_table,0.82131463,swing,0.016633818,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/004.jpg
10,air hockey,pool_table,0.75023615,bobsled,0.11606379,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/010.jpg
11,air hockey,library,0.45694992,prison,0.087946914,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/038.jpg
12,air hockey,desk,0.6426814,library,0.14681138,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/039.jpg
13,air hockey,gondola,0.36028406,pool_table,0.1198411,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/011.jpg
14,air hockey,pool_table,0.94029933,ping-pong_ball,0.05817994,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/005.jpg
15,air hockey,pool_table,0.58862346,dining_table,0.1324301,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/013.jpg
16,air hockey,pool_table,0.93189454,ping-pong_ball,0.05254006,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/007.jpg
17,air hockey,solar_dish,0.33144447,ping-pong_ball,0.20879534,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/006.jpg
18,air hockey,barrow,0.50590706,ashcan,0.27398872,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/012.jpg
19,air hockey,parallel_bars,0.6512002,horizontal_bar,0.33731154,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/101.jpg
20,air hockey,turnstile,0.1569682,prison,0.14882669,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/049.jpg
